Current,,
,,
證券代碼,年月日,報酬率％
1907 永豐餘,2001/12/31,2.7211
1909 榮成,2001/12/31,2.6393
2002 中鋼,2001/12/31,0.3676
2006 東和鋼鐵,2001/12/31,-1.1905
2007 燁興,2001/12/31,-1.1364
2008 高興昌,2001/12/31,0.2653
2009 第一銅,2001/12/31,1.6892
2010 春源,2001/12/31,0
2012 春雨,2001/12/31,6.1475
2013 中鋼構,2001/12/31,0
2014 中鴻,2001/12/31,3.3708
2015 豐興,2001/12/31,1.4706
2017 官田鋼,2001/12/31,5.0955
2020 美亞,2001/12/31,0.7407
2022 聚亨,2001/12/31,5.2632
2023 燁輝,2001/12/31,1.278
2024 志聯,2001/12/31,6.4516
2025 千興,2001/12/31,6.6667
2027 大成鋼,2001/12/31,1.2195
2028 威致,2001/12/31,6.3158
2029 盛餘,2001/12/31,2.3474
2030 彰源,2001/12/31,1
2031 新光鋼,2001/12/31,0
2032 新鋼,2001/12/31,-0.6494
2033 佳大,2001/12/31,0.8772
2034 允強,2001/12/31,0
2101 南港,2001/12/31,-4.5545
2102 泰豐,2001/12/31,6.7511
2103 台橡,2001/12/31,2.4283
2104 國際中橡,2001/12/31,4
2105 正新,2001/12/31,6.9444
2106 建大,2001/12/31,3.6842
2107 厚生,2001/12/31,1.9481
2108 南帝,2001/12/31,1.9084
2109 華豐,2001/12/31,5.7851
2201 裕隆,2001/12/31,3.1646
2204 中華,2001/12/31,1.3216
2206 三陽工業,2001/12/31,0
2207 和泰車,2001/12/31,0.3413
2301 光寶科,2001/12/31,2.6128
2302 麗正,2001/12/31,3.9063
2303 聯電,2001/12/31,3.4483
2305 全友,2001/12/31,6.5476
2308 台達電,2001/12/31,5.2174
2312 金寶,2001/12/31,6.5789
2313 華通,2001/12/31,3.2389
2314 台揚,2001/12/31,6.7847
2316 楠梓電,2001/12/31,4.0936
2317 鴻海,2001/12/31,1.9108
2321 東訊,2001/12/31,6.087
2323 中環,2001/12/31,1.9608
2324 仁寶,2001/12/31,3.7559
2327 國巨,2001/12/31,6.6116
2328 廣宇,2001/12/31,1.9417
2329 華泰,2001/12/31,6.6667
2330 台積電,2001/12/31,2.9412
2331 精英,2001/12/31,7
2332 友訊,2001/12/31,4.5045
2337 旺宏,2001/12/31,6.746
2338 光罩,2001/12/31,0.7905
2340 光磊,2001/12/31,4.4025
2342 茂矽,2001/12/31,6.9182
2344 華邦電,2001/12/31,6.7227
2345 智邦,2001/12/31,-1.0989
2347 聯強,2001/12/31,6.8807
2348 海悅,2001/12/31,4.5045
2349 錸德,2001/12/31,2.168
2351 順德,2001/12/31,5.6497
2352 佳世達,2001/12/31,5.2632
2353 宏碁,2001/12/31,6.8889
2354 鴻準,2001/12/31,1.087
