Current,,
,,
證券代碼,年月日,報酬率％
6116 彩晶,2001/12/06,4.1379
6141 柏承,2001/12/06,-4.0323
6183 關貿,2001/12/06,5.6338
6191 精成科,2001/12/06,6.639
8011 台通,2001/12/06,6.6298
8926 台汽電,2001/12/06,4.1322
9902 台火,2001/12/06,6.7376
9904 寶成,2001/12/06,6.4655
9905 大華,2001/12/06,3.9474
9906 欣巴巴,2001/12/06,0
9907 統一實,2001/12/06,5.5851
9908 大台北,2001/12/06,2.4876
9910 豐泰,2001/12/06,5.0209
9911 櫻花,2001/12/06,6.9231
9912 偉聯,2001/12/06,4.1667
9914 美利達,2001/12/06,5.9603
9917 中保科,2001/12/06,4.0268
9918 欣天然,2001/12/06,2.9787
9919 康那香,2001/12/06,2.6201
9921 巨大,2001/12/06,6.7524
9924 福興,2001/12/06,3.913
9925 新保,2001/12/06,1.9048
9926 新海,2001/12/06,3.4188
9927 泰銘,2001/12/06,1.9108
9928 中視,2001/12/06,6.8293
9929 秋雨,2001/12/06,6.9853
9930 中聯資源,2001/12/06,2.9586
9931 欣高,2001/12/06,5
9933 中鼎,2001/12/06,6.8783
9934 成霖,2001/12/06,6.9264
9935 慶豐富,2001/12/06,0
9937 全國,2001/12/06,3.4483
9938 百和,2001/12/06,6.5116
9939 宏全,2001/12/06,4.4444
9940 信義,2001/12/06,0.6849
9941 裕融,2001/12/06,4.3478
9943 好樂迪,2001/12/06,4.8485
9944 新麗,2001/12/06,0.4464
9945 潤泰新,2001/12/06,0.7194
Y9999 加權指數,2001/12/05,3.3176
1101 台泥,2001/12/05,2.7778
1102 亞泥,2001/12/05,5.0761
1103 嘉泥,2001/12/05,-0.8
1104 環泥,2001/12/05,0
1108 幸福,2001/12/05,0
1109 信大,2001/12/05,1.0753
1110 東泥,2001/12/05,0
1201 味全,2001/12/05,0.9901
1210 大成,2001/12/05,0.5882
1213 大飲,2001/12/05,-3.1818
1215 卜蜂,2001/12/05,6.3063
1216 統一,2001/12/05,2.7027
1217 愛之味,2001/12/05,1.6327
1218 泰山,2001/12/05,3.1746
1219 福壽,2001/12/05,0
1220 台榮,2001/12/05,1.6667
1225 福懋油,2001/12/05,4.2945
1227 佳格,2001/12/05,0.7092
1229 聯華,2001/12/05,3.3058
1231 聯華食,2001/12/05,0.6369
1232 大統益,2001/12/05,0
1233 天仁,2001/12/05,-2.4691
1234 黑松,2001/12/05,-0.4717
1235 興泰,2001/12/05,2.4735
1236 宏亞,2001/12/05,6.1947
1301 台塑,2001/12/05,2.3411
1303 南亞,2001/12/05,3.1818
1304 台聚,2001/12/05,0.9174
1305 華夏,2001/12/05,0.4274
1307 三芳,2001/12/05,2.5641
1308 亞聚,2001/12/05,0
1309 台達化,2001/12/05,0.6289
1310 台苯,2001/12/05,-1.581
1312 國喬,2001/12/05,0.7194
1313 聯成,2001/12/05,2.0672
1314 中石化,2001/12/05,3.3333
1315 達新,2001/12/05,0.7937
1316 上曜,2001/12/05,0
1319 東陽,2001/12/05,-0.7299
1321 大洋,2001/12/05,1.8868
1323 永裕,2001/12/05,0.8264
1324 地球,2001/12/05,6.8627
1325 恒大,2001/12/05,-1.1494
1326 台化,2001/12/05,3.3493
1402 遠東新,2001/12/05,0
1409 新纖,2001/12/05,0.8889
1410 南染,2001/12/05,6.9892
1413 宏洲,2001/12/05,5
1414 東和,2001/12/05,2.5641
1416 廣豐,2001/12/05,5.3191
1417 嘉裕,2001/12/05,2.4316
1418 東華,2001/12/05,1.6611
1419 新紡,2001/12/05,4.5833
1423 利華,2001/12/05,-0.9524
1432 大魯閣,2001/12/05,5.3333
1434 福懋,2001/12/05,0
1435 中福,2001/12/05,0
1436 華友聯,2001/12/05,-4.3257
1437 勤益控,2001/12/05,1.9608
1438 三地開發,2001/12/05,0
1439 中和,2001/12/05,2.521
1440 南紡,2001/12/05,1.0101
1441 大東,2001/12/05,1.4925
1442 名軒,2001/12/05,0
1443 立益,2001/12/05,0.5155
1444 力麗,2001/12/05,-0.625
1445 大宇,2001/12/05,0.9174
1446 宏和,2001/12/05,3.1373
1447 力鵬,2001/12/05,0.3521
1449 佳和,2001/12/05,3.2653
1451 年興,2001/12/05,0.9346
1452 宏益,2001/12/05,0.4405
1453 大將,2001/12/05,6.4286
1454 台富,2001/12/05,6.6667
1455 集盛,2001/12/05,0
1456 怡華,2001/12/05,0
1457 宜進,2001/12/05,0
1459 聯發,2001/12/05,-1.2048
1460 宏遠,2001/12/05,0.7246
1463 強盛,2001/12/05,0
1464 得力,2001/12/05,4.878
1465 偉全,2001/12/05,-1
1466 聚隆,2001/12/05,-1.8182
1467 南緯,2001/12/05,1.0601
1468 昶和,2001/12/05,1.8692
1470 大統新創,2001/12/05,3.3058
1471 首利,2001/12/05,-0.6667
1472 三洋紡,2001/12/05,-1.4493
1473 台南,2001/12/05,0.2625
1474 弘裕,2001/12/05,1
1475 業旺,2001/12/05,6.8293
1476 儒鴻,2001/12/05,0
1503 士電,2001/12/05,0
1504 東元,2001/12/05,2.5253
1506 正道,2001/12/05,0
1507 永大,2001/12/05,0.8163
1512 瑞利,2001/12/05,2.6455
1513 中興電,2001/12/05,1.4599
1514 亞力,2001/12/05,2.1429
1515 力山,2001/12/05,0.2092
1516 川飛,2001/12/05,0
1517 利奇,2001/12/05,1.6484
1519 華城,2001/12/05,1.227
1521 大億,2001/12/05,2.5773
1522 堤維西,2001/12/05,0
1524 耿鼎,2001/12/05,6.8182
1525 江申,2001/12/05,0
1526 日馳,2001/12/05,-0.8097
1527 鑽全,2001/12/05,2.3936
1528 恩德,2001/12/05,2.6667
1529 樂士,2001/12/05,6.25
1530 亞崴,2001/12/05,-4.2254
1531 高林股,2001/12/05,1.6667
1532 勤美,2001/12/05,0
1533 車王電,2001/12/05,1.5
1535 中宇,2001/12/05,3.0612
1536 和大,2001/12/05,0.7634
1538 正峰,2001/12/05,-0.4016
1539 巨庭,2001/12/05,6.7308
1540 喬福,2001/12/05,1.4925
1603 華電,2001/12/05,2.9167
1604 聲寶,2001/12/05,1.3072
1605 華新,2001/12/05,2.0408
1608 華榮,2001/12/05,-0.641
1609 大亞,2001/12/05,2.9851
1611 中電,2001/12/05,0.7937
1612 宏泰,2001/12/05,0.6522
1614 三洋電,2001/12/05,0
1615 大山,2001/12/05,0
1616 億泰,2001/12/05,-0.5479
1617 榮星,2001/12/05,1.1905
1618 合機,2001/12/05,-0.9615
1701 中化,2001/12/05,-0.7042
1702 南僑,2001/12/05,-0.8451
1707 葡萄王,2001/12/05,-0.8264
1708 東鹼,2001/12/05,2.3404
1709 和益,2001/12/05,-1.8692
1710 東聯,2001/12/05,2.1053
1711 永光,2001/12/05,2.2222
1712 興農,2001/12/05,-0.4988
1713 國化,2001/12/05,2.3077
1714 和桐,2001/12/05,1.1905
1717 長興,2001/12/05,0.6135
1718 中纖,2001/12/05,-0.3876
1720 生達,2001/12/05,-0.9132
1721 三晃,2001/12/05,3.139
1722 台肥,2001/12/05,0.3472
1723 中碳,2001/12/05,0
1724 台硝,2001/12/05,6.1947
1725 元禎,2001/12/05,-1.6807
1726 永記,2001/12/05,-1.9672
1727 中華化,2001/12/05,2.1127
1730 花仙子,2001/12/05,-2.1978
1731 美吾華,2001/12/05,3.75
1732 毛寶,2001/12/05,-2.7778
1733 五鼎,2001/12/05,6.5359
1734 杏輝,2001/12/05,2.1739
1735 日勝化,2001/12/05,2.0101
1802 台玻,2001/12/05,0
1805 寶徠,2001/12/05,6.7568
1806 冠軍,2001/12/05,6.6667
1808 潤隆,2001/12/05,0
1809 中釉,2001/12/05,2.4793
1810 和成,2001/12/05,6.5041
1903 士紙,2001/12/05,3.5857
1904 正隆,2001/12/05,1.7632
1905 華紙,2001/12/05,1.626
1906 寶隆,2001/12/05,4.8485
1907 永豐餘,2001/12/05,2.1277
1909 榮成,2001/12/05,1.3115
2002 中鋼,2001/12/05,-0.7353
2006 東和鋼鐵,2001/12/05,-0.6211
2007 燁興,2001/12/05,1.7857
2008 高興昌,2001/12/05,1.8576
2009 第一銅,2001/12/05,6.8441
2010 春源,2001/12/05,0
2012 春雨,2001/12/05,-0.4425
2013 中鋼構,2001/12/05,1.3746
2014 中鴻,2001/12/05,5.2632
2015 豐興,2001/12/05,3.2787
2017 官田鋼,2001/12/05,-2.3256
2020 美亞,2001/12/05,3.3898
2022 聚亨,2001/12/05,6.8182
2023 燁輝,2001/12/05,1.7094
2024 志聯,2001/12/05,-6.6667
2025 千興,2001/12/05,-6.0606
2027 大成鋼,2001/12/05,1.1905
2028 威致,2001/12/05,0
2029 盛餘,2001/12/05,1.4706
2030 彰源,2001/12/05,0.6098
2031 新光鋼,2001/12/05,0.885
2032 新鋼,2001/12/05,2.1127
2033 佳大,2001/12/05,-0.8333
2034 允強,2001/12/05,-2.2222
2101 南港,2001/12/05,-1.6129
2102 泰豐,2001/12/05,1.875
2103 台橡,2001/12/05,0.7282
2104 國際中橡,2001/12/05,5.914
2105 正新,2001/12/05,0.495
2106 建大,2001/12/05,1.6393
2107 厚生,2001/12/05,0.9901
2108 南帝,2001/12/05,1.6949
2109 華豐,2001/12/05,-1.6129
2201 裕隆,2001/12/05,1.3793
2204 中華,2001/12/05,-0.4587
2206 三陽工業,2001/12/05,-1.8868
2207 和泰車,2001/12/05,-0.3704
2301 光寶科,2001/12/05,0
2302 麗正,2001/12/05,4.1304
2303 聯電,2001/12/05,6.8966
2305 全友,2001/12/05,1.8182
2308 台達電,2001/12/05,2.8302
2312 金寶,2001/12/05,2
2313 華通,2001/12/05,-1.0225
2314 台揚,2001/12/05,6.7524
2316 楠梓電,2001/12/05,0
2317 鴻海,2001/12/05,1.8868
2321 東訊,2001/12/05,-1.4706
2323 中環,2001/12/05,-0.4082
2324 仁寶,2001/12/05,4.9223
2327 國巨,2001/12/05,0.9009
2328 廣宇,2001/12/05,-0.5
2329 華泰,2001/12/05,6.5089
2330 台積電,2001/12/05,6.3694
2331 精英,2001/12/05,6.5744
2332 友訊,2001/12/05,0.625
2337 旺宏,2001/12/05,6.0729
2338 光罩,2001/12/05,6.9149
2340 光磊,2001/12/05,-4.0268
2342 茂矽,2001/12/05,6.5217
2344 華邦電,2001/12/05,6.7114
2345 智邦,2001/12/05,3.0303
2347 聯強,2001/12/05,-0.4651
2348 海悅,2001/12/05,-1.2048
2349 錸德,2001/12/05,0.3185
2351 順德,2001/12/05,0
2352 佳世達,2001/12/05,4.8276
2353 宏碁,2001/12/05,2.514
2354 鴻準,2001/12/05,-2.9499
2355 敬鵬,2001/12/05,-3.0899
2356 英業達,2001/12/05,2.765
2357 華碩,2001/12/05,2.0833
2358 廷鑫,2001/12/05,-6.4516
2359 所羅門,2001/12/05,3.0303
2360 致茂,2001/12/05,-2.1459
2362 藍天,2001/12/05,-1.1811
2363 矽統,2001/12/05,6.6667
2364 倫飛,2001/12/05,7
2365 昆盈,2001/12/05,-2.8846
2367 燿華,2001/12/05,-0.4785
2368 金像電,2001/12/05,1.5152
2369 菱生,2001/12/05,5.0505
2371 大同,2001/12/05,2.0548
2373 震旦行,2001/12/05,3.5714
2374 佳能,2001/12/05,-4.6083
2375 凱美,2001/12/05,3.0418
2376 技嘉,2001/12/05,1.105
2377 微星,2001/12/05,6.6116
2379 瑞昱,2001/12/05,-0.7634
2380 虹光,2001/12/05,-0.6897
2382 廣達,2001/12/05,3.6145
2383 台光電,2001/12/05,6.6986
2385 群光,2001/12/05,-3.8328
2387 精元,2001/12/05,1.5974
2388 威盛,2001/12/05,2.8689
2390 云辰,2001/12/05,1.3158
2392 正崴,2001/12/05,1.2658
2393 億光,2001/12/05,-4.4444
2395 研華,2001/12/05,6.6667
2397 友通,2001/12/05,-2.2222
2399 映泰,2001/12/05,2.3669
2401 凌陽,2001/12/05,1.6575
2402 毅嘉,2001/12/05,-2.8846
2404 漢唐,2001/12/05,0.4098
2405 浩鑫,2001/12/05,3.012
2406 國碩,2001/12/05,-1.4493
2408 南亞科,2001/12/05,6.599
2409 友達,2001/12/05,5.364
2412 中華電,2001/12/05,4.902
2413 環科,2001/12/05,-2.5882
2414 精技,2001/12/05,-2.4691
2415 錩新,2001/12/05,6.1818
2417 圓剛,2001/12/05,6.7857
2419 仲琦,2001/12/05,-2.6087
2420 新巨,2001/12/05,0.6897
2421 建準,2001/12/05,-2.5806
2423 固緯,2001/12/05,-5.5556
2424 隴華,2001/12/05,-2.7237
2425 承啟,2001/12/05,-3.5088
2426 鼎元,2001/12/05,1.0676
2427 三商電,2001/12/05,-0.3436
2428 興勤,2001/12/05,-2.8939
2429 銘旺科,2001/12/05,0
2430 燦坤,2001/12/05,-1.6787
2431 聯昌,2001/12/05,4.386
2433 互盛電,2001/12/05,0
2434 統懋,2001/12/05,0
2436 偉詮電,2001/12/05,-1.3263
2438 翔耀,2001/12/05,-6.0606
2439 美律,2001/12/05,-6.9811
2440 太空梭,2001/12/05,-2.5424
2441 超豐,2001/12/05,6.4407
2442 新美齊,2001/12/05,6.9307
2443 億麗,2001/12/05,-0.9615
2444 兆勁,2001/12/05,2.4
2449 京元電子,2001/12/05,6.8421
2450 神腦,2001/12/05,-3.4483
2451 創見,2001/12/05,6.6667
2453 凌群,2001/12/05,1.4218
2454 聯發科,2001/12/05,6.8966
2456 奇力新,2001/12/05,1.9512
2457 飛宏,2001/12/05,0
2458 義隆,2001/12/05,-3.2538
2459 敦吉,2001/12/05,-0.8547
2460 建通,2001/12/05,0
2461 光群雷,2001/12/05,-1.7978
2462 良得電,2001/12/05,2.3529
2464 盟立,2001/12/05,-2.8986
2465 麗臺,2001/12/05,-1.0799
2466 冠西電,2001/12/05,3.3149
2467 志聖,2001/12/05,-5.3435
2468 華經,2001/12/05,2.7211
2471 資通,2001/12/05,3.6585
2472 立隆電,2001/12/05,-3.6364
2474 可成,2001/12/05,4.6296
2476 鉅祥,2001/12/05,-0.5376
2477 美隆電,2001/12/05,0.885
2478 大毅,2001/12/05,6.9277
2480 敦陽科,2001/12/05,0.7782
2481 強茂,2001/12/05,6.8871
2482 連宇,2001/12/05,6.9231
2483 百容,2001/12/05,-3.1348
2484 希華,2001/12/05,-4.8632
2485 兆赫,2001/12/05,2.8169
2486 一詮,2001/12/05,-5.5556
2488 漢平,2001/12/05,-1.7157
2489 瑞軒,2001/12/05,-2.2173
2491 吉祥全,2001/12/05,2.4631
2492 華新科,2001/12/05,6.9705
2501 國建,2001/12/05,0
2504 國產,2001/12/05,3.5556
2505 國揚,2001/12/05,1.9048
2506 太設,2001/12/05,1.5924
2509 全坤建,2001/12/05,-0.2
2511 太子,2001/12/05,3.8095
2514 龍邦,2001/12/05,1.4925
2515 中工,2001/12/05,0.9217
2516 新建,2001/12/05,-1.9802
2520 冠德,2001/12/05,0.7614
2524 京城,2001/12/05,0.5155
2527 宏璟,2001/12/05,-1.6667
2528 皇普,2001/12/05,-2.2727
2530 華建,2001/12/05,4.6296
2534 宏盛,2001/12/05,0
2535 達欣工,2001/12/05,-0.8403
2536 宏普,2001/12/05,0.4219
2537 聯上發,2001/12/05,0
2538 基泰,2001/12/05,2.1739
2539 櫻花建,2001/12/05,-2.3077
2540 愛山林,2001/12/05,4.878
2542 興富發,2001/12/05,-1.6667
2543 皇昌,2001/12/05,0
2545 皇翔,2001/12/05,0
2546 根基,2001/12/05,1.1111
2547 日勝生,2001/12/05,-0.9877
2548 華固,2001/12/05,2.4242
2601 益航,2001/12/05,1.105
2603 長榮,2001/12/05,1.5385
2605 新興,2001/12/05,2.5641
2606 裕民,2001/12/05,1.4085
2607 榮運,2001/12/05,6.4103
2608 嘉里大榮,2001/12/05,4
2609 陽明,2001/12/05,0
2610 華航,2001/12/05,0
2611 志信,2001/12/05,0.9615
2612 中航,2001/12/05,3.5197
2613 中櫃,2001/12/05,-0.5
2614 東森,2001/12/05,-3.3898
2615 萬海,2001/12/05,2.6549
2616 山隆,2001/12/05,4.0816
2617 台航,2001/12/05,0.6623
2618 長榮航,2001/12/05,0.5376
2701 萬企,2001/12/05,1.0638
2702 華園,2001/12/05,0
2704 國賓,2001/12/05,0
2705 六福,2001/12/05,-0.5435
2706 第一店,2001/12/05,-0.5495
2707 晶華,2001/12/05,0.6993
2801 彰銀,2001/12/05,0.3984
2809 京城銀,2001/12/05,1.7442
2812 台中銀,2001/12/05,0.2907
2816 旺旺保,2001/12/05,0
2820 華票,2001/12/05,2.3077
2823 中壽,2001/12/05,6.8182
2832 台產,2001/12/05,0
2834 臺企銀,2001/12/05,6.3636
2836 高雄銀,2001/12/05,0
2838 聯邦銀,2001/12/05,0
2841 台開,2001/12/05,0.2667
2845 遠東銀,2001/12/05,1.0101
2849 安泰銀,2001/12/05,0.2105
2850 新產,2001/12/05,0
2851 中再保,2001/12/05,2.4242
2852 第一保,2001/12/05,0
2855 統一證,2001/12/05,1.7964
2901 欣欣,2001/12/05,6.9231
2903 遠百,2001/12/05,3.3898
2904 匯僑,2001/12/05,1.4706
2905 三商,2001/12/05,0
2906 高林,2001/12/05,3.0769
2908 特力,2001/12/05,2.6786
2910 統領,2001/12/05,0
2911 麗嬰房,2001/12/05,1.7778
2912 統一超,2001/12/05,-0.8403
2913 農林,2001/12/05,0.271
2915 潤泰全,2001/12/05,1.7857
3002 歐格,2001/12/05,1.4577
3010 華立,2001/12/05,3.7594
3011 今皓,2001/12/05,-3.3613
3018 同開,2001/12/05,3.4483
3019 亞光,2001/12/05,2.9851
3021 鴻名,2001/12/05,0.5076
3022 威強電,2001/12/05,-3.3613
3023 信邦,2001/12/05,-0.4124
3024 憶聲,2001/12/05,6.8345
3025 星通,2001/12/05,6.1404
3026 禾伸堂,2001/12/05,-3.6364
3027 盛達,2001/12/05,-1.9608
3028 增你強,2001/12/05,-0.4545
3029 零壹,2001/12/05,5.2632
3030 德律,2001/12/05,3.5422
3031 佰鴻,2001/12/05,6.8493
3032 偉訓,2001/12/05,-0.4444
3033 威健,2001/12/05,-1.6
3034 聯詠,2001/12/05,5.4054
3035 智原,2001/12/05,-1.1765
3036 文曄,2001/12/05,-0.9662
3037 欣興,2001/12/05,5.4545
3038 全台,2001/12/05,6.9307
3040 遠見,2001/12/05,-1.7094
3041 揚智,2001/12/05,6.5041
3042 晶技,2001/12/05,6.7524
3043 科風,2001/12/05,-2.1739
3044 健鼎,2001/12/05,-4.3353
3045 台灣大,2001/12/05,-0.7059
3046 建碁,2001/12/05,5.1136
3047 訊舟,2001/12/05,5.2083
3052 夆典,2001/12/05,6.1571
4104 佳醫,2001/12/05,1.7751
4306 炎洲,2001/12/05,0
4414 如興,2001/12/05,-1.8868
4526 東台,2001/12/05,6.5789
4720 德淵,2001/12/05,6.81
5007 三星,2001/12/05,-0.641
5203 訊連,2001/12/05,6.5421
5388 中磊,2001/12/05,0
5434 崇越,2001/12/05,5.7971
5469 瀚宇博,2001/12/05,-4.2424
5471 松翰,2001/12/05,6.5421
5484 慧友,2001/12/05,-2.1277
5515 建國,2001/12/05,-1.6667
5519 隆大,2001/12/05,0
5521 工信,2001/12/05,3.6458
5522 遠雄,2001/12/05,-2.7778
5525 順天,2001/12/05,0
5531 鄉林,2001/12/05,0
5533 皇鼎,2001/12/05,1.4493
5607 遠雄港,2001/12/05,0
5608 四維航,2001/12/05,3.8462
5706 鳳凰,2001/12/05,4.1475
6005 群益證,2001/12/05,1.9868
6108 競國,2001/12/05,-0.625
6112 聚碩,2001/12/05,6.25
6116 彩晶,2001/12/05,3.2028
6141 柏承,2001/12/05,5.0847
6183 關貿,2001/12/05,1.4286
6191 精成科,2001/12/05,6.6372
8011 台通,2001/12/05,2.2599
8926 台汽電,2001/12/05,1.2552
9902 台火,2001/12/05,1.4388
9904 寶成,2001/12/05,2.6549
9905 大華,2001/12/05,2.0134
9906 欣巴巴,2001/12/05,0
9907 統一實,2001/12/05,0.5348
9908 大台北,2001/12/05,1.5152
9910 豐泰,2001/12/05,1.2712
9911 櫻花,2001/12/05,-1.5152
9912 偉聯,2001/12/05,-1.6393
9914 美利達,2001/12/05,6.338
9917 中保科,2001/12/05,-0.3344
9918 欣天然,2001/12/05,1.7316
9919 康那香,2001/12/05,1.3274
9921 巨大,2001/12/05,-1.2698
9924 福興,2001/12/05,-0.8621
9925 新保,2001/12/05,0
9926 新海,2001/12/05,-0.4255
9927 泰銘,2001/12/05,1.9481
9928 中視,2001/12/05,0.4902
9929 秋雨,2001/12/05,-2.8571
9930 中聯資源,2001/12/05,1.8072
9931 欣高,2001/12/05,0
9933 中鼎,2001/12/05,1.0695
9934 成霖,2001/12/05,2.6667
9935 慶豐富,2001/12/05,-0.5236
9937 全國,2001/12/05,-2.3569
9938 百和,2001/12/05,6.9652
9939 宏全,2001/12/05,-2.7027
9940 信義,2001/12/05,-2.6667
9941 裕融,2001/12/05,0.625
9943 好樂迪,2001/12/05,0.6098
9944 新麗,2001/12/05,-0.4444
9945 潤泰新,2001/12/05,1.4599
Y9999 加權指數,2001/12/04,2.5787
1101 台泥,2001/12/04,0.6993
1102 亞泥,2001/12/04,3.1414
1103 嘉泥,2001/12/04,0.8065
1104 環泥,2001/12/04,0
1108 幸福,2001/12/04,0
1109 信大,2001/12/04,-0.5348
1110 東泥,2001/12/04,0
1201 味全,2001/12/04,1
1210 大成,2001/12/04,1.7964
1213 大飲,2001/12/04,-3.5088
1215 卜蜂,2001/12/04,1.8349
1216 統一,2001/12/04,0.4525
1217 愛之味,2001/12/04,-1.0101
1218 泰山,2001/12/04,-1.5625
1219 福壽,2001/12/04,-0.6696
1220 台榮,2001/12/04,1.6949
1225 福懋油,2001/12/04,6.8852
1227 佳格,2001/12/04,0
1229 聯華,2001/12/04,0.6237
1231 聯華食,2001/12/04,-0.6329
1232 大統益,2001/12/04,0
1233 天仁,2001/12/04,-0.4098
1234 黑松,2001/12/04,0
1235 興泰,2001/12/04,0.7117
1236 宏亞,2001/12/04,-1.7391
1301 台塑,2001/12/04,2.3973
1303 南亞,2001/12/04,4.7619
1304 台聚,2001/12/04,0.9259
1305 華夏,2001/12/04,-0.8475
1307 三芳,2001/12/04,0
1308 亞聚,2001/12/04,2.1505
1309 台達化,2001/12/04,2.8017
1310 台苯,2001/12/04,4.1152
1312 國喬,2001/12/04,1.7073
1313 聯成,2001/12/04,1.3089
1314 中石化,2001/12/04,-0.4739
1315 達新,2001/12/04,0
1316 上曜,2001/12/04,0
1319 東陽,2001/12/04,-0.7246
1321 大洋,2001/12/04,0
1323 永裕,2001/12/04,0
1324 地球,2001/12/04,0
1325 恒大,2001/12/04,0
1326 台化,2001/12/04,1.4563
1402 遠東新,2001/12/04,5.9055
1409 新纖,2001/12/04,0.4464
1410 南染,2001/12/04,-1.3263
1413 宏洲,2001/12/04,-3.2258
1414 東和,2001/12/04,-4.878
1416 廣豐,2001/12/04,2.1739
1417 嘉裕,2001/12/04,3.4591
1418 東華,2001/12/04,-1.3115
1419 新紡,2001/12/04,0
1423 利華,2001/12/04,2.9412
1432 大魯閣,2001/12/04,-3.8462
1434 福懋,2001/12/04,1.6854
1435 中福,2001/12/04,0
1436 華友聯,2001/12/04,0
1437 勤益控,2001/12/04,-0.9709
1438 三地開發,2001/12/04,-6.1856
1439 中和,2001/12/04,0
1440 南紡,2001/12/04,-1
1441 大東,2001/12/04,0.5
1442 名軒,2001/12/04,0
1443 立益,2001/12/04,-0.5128
1444 力麗,2001/12/04,2.8939
1445 大宇,2001/12/04,5.8252
1446 宏和,2001/12/04,-3.0418
1447 力鵬,2001/12/04,-0.3509
1449 佳和,2001/12/04,0.823
1451 年興,2001/12/04,-0.4651
1452 宏益,2001/12/04,3.4169
1453 大將,2001/12/04,1.4493
1454 台富,2001/12/04,0.9615
1455 集盛,2001/12/04,2.6423
1456 怡華,2001/12/04,0
1457 宜進,2001/12/04,3.8012
1459 聯發,2001/12/04,0.6061
1460 宏遠,2001/12/04,0
1463 強盛,2001/12/04,0
1464 得力,2001/12/04,-0.9662
1465 偉全,2001/12/04,0
1466 聚隆,2001/12/04,0
1467 南緯,2001/12/04,-0.3521
1468 昶和,2001/12/04,1.9048
1470 大統新創,2001/12/04,3.4188
1471 首利,2001/12/04,-0.6623
1472 三洋紡,2001/12/04,1.4706
1473 台南,2001/12/04,-0.5222
1474 弘裕,2001/12/04,0
1475 業旺,2001/12/04,0.9852
1476 儒鴻,2001/12/04,-1.2346
1503 士電,2001/12/04,2.0408
1504 東元,2001/12/04,5.3191
1506 正道,2001/12/04,1.7094
1507 永大,2001/12/04,-0.4065
1512 瑞利,2001/12/04,4.1322
1513 中興電,2001/12/04,0.7353
1514 亞力,2001/12/04,-1.4085
1515 力山,2001/12/04,-2.0492
1516 川飛,2001/12/04,1.6529
1517 利奇,2001/12/04,3.1161
1519 華城,2001/12/04,-0.6098
1521 大億,2001/12/04,1.0417
1522 堤維西,2001/12/04,-1.5385
1524 耿鼎,2001/12/04,0
1525 江申,2001/12/04,-0.9434
1526 日馳,2001/12/04,0.2028
1527 鑽全,2001/12/04,1.3477
1528 恩德,2001/12/04,2.0408
1529 樂士,2001/12/04,1.0526
1530 亞崴,2001/12/04,0
1531 高林股,2001/12/04,-2.0408
1532 勤美,2001/12/04,-0.3534
1533 車王電,2001/12/04,-0.9901
1535 中宇,2001/12/04,-1.5075
1536 和大,2001/12/04,-0.7576
1538 正峰,2001/12/04,2.0492
1539 巨庭,2001/12/04,0.9709
1540 喬福,2001/12/04,-1.4706
1603 華電,2001/12/04,3.0043
1604 聲寶,2001/12/04,3.3784
1605 華新,2001/12/04,3.5211
1608 華榮,2001/12/04,4.698
1609 大亞,2001/12/04,-1.1799
1611 中電,2001/12/04,-0.7874
1612 宏泰,2001/12/04,2.2222
1614 三洋電,2001/12/04,1.1494
1615 大山,2001/12/04,0
1616 億泰,2001/12/04,-1.084
1617 榮星,2001/12/04,1.6129
1618 合機,2001/12/04,-0.716
1701 中化,2001/12/04,1.4286
1702 南僑,2001/12/04,-1.1142
1707 葡萄王,2001/12/04,-2.2222
1708 東鹼,2001/12/04,0.4274
1709 和益,2001/12/04,0
1710 東聯,2001/12/04,3.2609
1711 永光,2001/12/04,-0.7353
1712 興農,2001/12/04,1.519
1713 國化,2001/12/04,0
1714 和桐,2001/12/04,2.439
1717 長興,2001/12/04,5.8442
1718 中纖,2001/12/04,-1.1494
1720 生達,2001/12/04,0.9217
1721 三晃,2001/12/04,-2.6201
1722 台肥,2001/12/04,4.7273
1723 中碳,2001/12/04,1.1628
1724 台硝,2001/12/04,2.7273
1725 元禎,2001/12/04,-0.8333
1726 永記,2001/12/04,5.9028
1727 中華化,2001/12/04,6.7669
1730 花仙子,2001/12/04,0.5525
1731 美吾華,2001/12/04,-0.8264
1732 毛寶,2001/12/04,-1.6393
1733 五鼎,2001/12/04,2
1734 杏輝,2001/12/04,0.5464
1735 日勝化,2001/12/04,3.1088
1802 台玻,2001/12/04,0.4831
1805 寶徠,2001/12/04,0.4525
1806 冠軍,2001/12/04,-2.1739
1808 潤隆,2001/12/04,0
1809 中釉,2001/12/04,2.5424
1810 和成,2001/12/04,0.8197
1903 士紙,2001/12/04,0.8032
1904 正隆,2001/12/04,-0.2513
1905 華紙,2001/12/04,0
1906 寶隆,2001/12/04,1.8519
1907 永豐餘,2001/12/04,-0.7042
1909 榮成,2001/12/04,-0.3268
2002 中鋼,2001/12/04,-1.0909
2006 東和鋼鐵,2001/12/04,0
2007 燁興,2001/12/04,5.6604
2008 高興昌,2001/12/04,2.5397
2009 第一銅,2001/12/04,6.9106
2010 春源,2001/12/04,-1.5748
2012 春雨,2001/12/04,-1.31
2013 中鋼構,2001/12/04,0.3448
2014 中鴻,2001/12/04,-5
2015 豐興,2001/12/04,0
2017 官田鋼,2001/12/04,-5.1471
2020 美亞,2001/12/04,6.3063
2022 聚亨,2001/12/04,1.7341
2023 燁輝,2001/12/04,-2.9046
