Current,,
,,
證券代碼,年月日,報酬率％
Y9999 加權指數,2000/12/30,-0.1022
1101 台泥,2000/12/30,1.3245
1102 亞泥,2000/12/30,0.5495
1103 嘉泥,2000/12/30,1.4493
1104 環泥,2000/12/30,0.7692
1108 幸福,2000/12/30,-0.5025
1109 信大,2000/12/30,4.7619
1110 東泥,2000/12/30,0
1201 味全,2000/12/30,4.8611
1203 味王,2000/12/30,5.4688
1210 大成,2000/12/30,0.5587
1213 大飲,2000/12/30,-0.6329
1215 卜蜂,2000/12/30,3.0928
1216 統一,2000/12/30,0
1217 愛之味,2000/12/30,-0.6993
1218 泰山,2000/12/30,0
1219 福壽,2000/12/30,0.6148
1220 台榮,2000/12/30,0
1225 福懋油,2000/12/30,0
1227 佳格,2000/12/30,4.3103
1229 聯華,2000/12/30,1.2821
1231 聯華食,2000/12/30,-1.7964
1232 大統益,2000/12/30,0
1233 天仁,2000/12/30,0.9259
1234 黑松,2000/12/30,0.3802
1235 興泰,2000/12/30,2.6667
1236 宏亞,2000/12/30,0
1301 台塑,2000/12/30,2.4336
1303 南亞,2000/12/30,0.2695
1304 台聚,2000/12/30,6.3492
1305 華夏,2000/12/30,5.9561
1307 三芳,2000/12/30,4.0268
1308 亞聚,2000/12/30,6.7961
1309 台達化,2000/12/30,6.8182
1310 台苯,2000/12/30,7
1312 國喬,2000/12/30,6.3158
1313 聯成,2000/12/30,6.8627
1314 中石化,2000/12/30,3.6364
1315 達新,2000/12/30,-1.7391
1316 上曜,2000/12/30,0.7843
1319 東陽,2000/12/30,0.7143
1321 大洋,2000/12/30,0.495
1323 永裕,2000/12/30,-2.8571
1324 地球,2000/12/30,1.5306
1325 恒大,2000/12/30,0.4587
1326 台化,2000/12/30,4.1199
1402 遠東新,2000/12/30,0
1409 新纖,2000/12/30,-3.481
1410 南染,2000/12/30,-2.6087
1413 宏洲,2000/12/30,0
1414 東和,2000/12/30,2.1429
1416 廣豐,2000/12/30,1.4599
1417 嘉裕,2000/12/30,2.3324
1418 東華,2000/12/30,0
1419 新紡,2000/12/30,-0.4854
1423 利華,2000/12/30,1.5974
1432 大魯閣,2000/12/30,2.027
1434 福懋,2000/12/30,1.8072
1435 中福,2000/12/30,-0.4651
1436 華友聯,2000/12/30,2.8807
1437 勤益控,2000/12/30,0
1438 三地開發,2000/12/30,0
1439 中和,2000/12/30,-3.4091
1440 南紡,2000/12/30,4.5198
1441 大東,2000/12/30,-3.3505
1442 名軒,2000/12/30,0
1443 立益,2000/12/30,3.1609
1444 力麗,2000/12/30,2.2814
1445 大宇,2000/12/30,-3.2258
1446 宏和,2000/12/30,-0.9009
1447 力鵬,2000/12/30,2.9762
1449 佳和,2000/12/30,0
1451 年興,2000/12/30,2.9412
1452 宏益,2000/12/30,-1.4045
1453 大將,2000/12/30,0
1454 台富,2000/12/30,-0.7752
1455 集盛,2000/12/30,2.1672
1456 怡華,2000/12/30,0
1457 宜進,2000/12/30,3.2468
1459 聯發,2000/12/30,6.8966
1460 宏遠,2000/12/30,1.5748
1463 強盛,2000/12/30,-2.8169
1464 得力,2000/12/30,-0.597
1465 偉全,2000/12/30,0.6173
1466 聚隆,2000/12/30,-1.2195
1467 南緯,2000/12/30,3.0303
1468 昶和,2000/12/30,0.3546
1470 大統新創,2000/12/30,-6.25
1471 首利,2000/12/30,0
1472 三洋紡,2000/12/30,0
1473 台南,2000/12/30,2.7714
1474 弘裕,2000/12/30,4.3269
1475 業旺,2000/12/30,-0.4785
1503 士電,2000/12/30,3.7433
1504 東元,2000/12/30,-1.7045
1506 正道,2000/12/30,0.3401
1507 永大,2000/12/30,0.939
1512 瑞利,2000/12/30,0
1513 中興電,2000/12/30,2.7322
1514 亞力,2000/12/30,0.4808
1515 力山,2000/12/30,-1.8349
1516 川飛,2000/12/30,1.0417
1517 利奇,2000/12/30,-0.5305
1519 華城,2000/12/30,3.125
1521 大億,2000/12/30,1.5748
1522 堤維西,2000/12/30,2.1898
1524 耿鼎,2000/12/30,3.1579
1525 江申,2000/12/30,0
1526 日馳,2000/12/30,0
1527 鑽全,2000/12/30,2.459
1528 恩德,2000/12/30,1.2422
1529 樂士,2000/12/30,0
1530 亞崴,2000/12/30,-1.1494
1531 高林股,2000/12/30,1.292
1532 勤美,2000/12/30,0
1535 中宇,2000/12/30,0
1536 和大,2000/12/30,0
1538 正峰,2000/12/30,6.8293
1540 喬福,2000/12/30,-1.6667
1603 華電,2000/12/30,1.5152
1604 聲寶,2000/12/30,3.4632
1605 華新,2000/12/30,2.1201
1608 華榮,2000/12/30,2.1053
1609 大亞,2000/12/30,2.8846
1611 中電,2000/12/30,-2.5
1612 宏泰,2000/12/30,1.0753
1614 三洋電,2000/12/30,1.9608
1615 大山,2000/12/30,3.9216
1616 億泰,2000/12/30,-2.3256
1617 榮星,2000/12/30,-0.6623
1618 合機,2000/12/30,1.8182
1701 中化,2000/12/30,1.3699
1702 南僑,2000/12/30,0.2045
1707 葡萄王,2000/12/30,2.2044
1708 東鹼,2000/12/30,6.4935
1709 和益,2000/12/30,1.8692
1710 東聯,2000/12/30,5.4545
1711 永光,2000/12/30,1.1236
1712 興農,2000/12/30,-0.2611
1713 國化,2000/12/30,1.4925
1714 和桐,2000/12/30,2.3438
1717 長興,2000/12/30,-0.4587
1718 中纖,2000/12/30,6.6298
1720 生達,2000/12/30,-0.5556
1721 三晃,2000/12/30,0.3484
1722 台肥,2000/12/30,0
1723 中碳,2000/12/30,2.3729
1724 台硝,2000/12/30,0.4016
1725 元禎,2000/12/30,3.8462
1726 永記,2000/12/30,1.4563
1727 中華化,2000/12/30,-0.4831
1730 花仙子,2000/12/30,-2.2989
1731 美吾華,2000/12/30,-0.5181
1732 毛寶,2000/12/30,2.7778
1733 五鼎,2000/12/30,-1.3245
1734 杏輝,2000/12/30,0
1735 日勝化,2000/12/30,-1.0989
1802 台玻,2000/12/30,4.5139
1805 寶徠,2000/12/30,-2.3041
1806 冠軍,2000/12/30,-2.6786
1808 潤隆,2000/12/30,0
1809 中釉,2000/12/30,-2.4845
1810 和成,2000/12/30,3.3613
1903 士紙,2000/12/30,-1.0381
1904 正隆,2000/12/30,1.3514
1905 華紙,2000/12/30,1.3699
1906 寶隆,2000/12/30,6.5041
1907 永豐餘,2000/12/30,4.6512
1909 榮成,2000/12/30,1.0352
2002 中鋼,2000/12/30,0
2006 東和鋼鐵,2000/12/30,0
2007 燁興,2000/12/30,-0.4525
2008 高興昌,2000/12/30,5.042
2009 第一銅,2000/12/30,-2.4691
2010 春源,2000/12/30,2.3256
2012 春雨,2000/12/30,-1.6667
2013 中鋼構,2000/12/30,3.2086
2014 中鴻,2000/12/30,-1.25
2015 豐興,2000/12/30,0
2017 官田鋼,2000/12/30,0.7813
2020 美亞,2000/12/30,1.4706
2022 聚亨,2000/12/30,0
2023 燁輝,2000/12/30,0.9434
2024 志聯,2000/12/30,0.7692
2025 千興,2000/12/30,-2.963
2027 大成鋼,2000/12/30,0
2028 威致,2000/12/30,-1.6667
2029 盛餘,2000/12/30,0.3731
2030 彰源,2000/12/30,4.712
2031 新光鋼,2000/12/30,1.3333
2032 新鋼,2000/12/30,1.3699
2033 佳大,2000/12/30,4.4643
2034 允強,2000/12/30,-0.4219
2102 泰豐,2000/12/30,1.4706
2103 台橡,2000/12/30,1.7677
2104 國際中橡,2000/12/30,1.6194
2105 正新,2000/12/30,0.9479
2106 建大,2000/12/30,6.3725
2107 厚生,2000/12/30,0.8197
2108 南帝,2000/12/30,4.3478
2109 華豐,2000/12/30,3.3058
2201 裕隆,2000/12/30,1.3953
2204 中華,2000/12/30,0.8929
2206 三陽工業,2000/12/30,0.7576
2207 和泰車,2000/12/30,0.4902
2301 光寶科,2000/12/30,-3.4483
2302 麗正,2000/12/30,-3.3473
2303 聯電,2000/12/30,-2.4948
2305 全友,2000/12/30,6.4
2308 台達電,2000/12/30,0
2312 金寶,2000/12/30,-3.1056
2313 華通,2000/12/30,-0.3571
2314 台揚,2000/12/30,-3.4483
2316 楠梓電,2000/12/30,-3.4965
2317 鴻海,2000/12/30,-1.7857
2321 東訊,2000/12/30,-3.2787
2323 中環,2000/12/30,-3.2389
2324 仁寶,2000/12/30,-0.6682
2327 國巨,2000/12/30,0.3831
2328 廣宇,2000/12/30,-2.9703
2329 華泰,2000/12/30,0
2330 台積電,2000/12/30,-1.2579
2331 精英,2000/12/30,0
2332 友訊,2000/12/30,-3.3223
2337 旺宏,2000/12/30,1.7588
2338 光罩,2000/12/30,-1.8692
2340 光磊,2000/12/30,-3.4014
2342 茂矽,2000/12/30,-3.2787
2344 華邦電,2000/12/30,-3.1546
2345 智邦,2000/12/30,-3.4483
2347 聯強,2000/12/30,-3.1056
2348 海悅,2000/12/30,-3.3097
2349 錸德,2000/12/30,-3.4483
2351 順德,2000/12/30,-3.125
2352 佳世達,2000/12/30,-3.2544
2353 宏碁,2000/12/30,-3.2967
2354 鴻準,2000/12/30,0.4464
2355 敬鵬,2000/12/30,-3.0769
2356 英業達,2000/12/30,-3.2895
2357 華碩,2000/12/30,-2.5126
2358 廷鑫,2000/12/30,-1.6484
2359 所羅門,2000/12/30,-0.6667
2360 致茂,2000/12/30,-1.2766
2362 藍天,2000/12/30,-2.0737
2363 矽統,2000/12/30,0
2364 倫飛,2000/12/30,-3.2864
2365 昆盈,2000/12/30,-3.3613
2367 燿華,2000/12/30,2.4272
2368 金像電,2000/12/30,-3.3816
2369 菱生,2000/12/30,-0.4525
2371 大同,2000/12/30,1.6
2373 震旦行,2000/12/30,-1.2712
2374 佳能,2000/12/30,0
2375 凱美,2000/12/30,-1.4957
2376 技嘉,2000/12/30,-2.7027
2377 微星,2000/12/30,-3.2787
2379 瑞昱,2000/12/30,-0.5556
2380 虹光,2000/12/30,1.7857
2382 廣達,2000/12/30,-3.4483
2383 台光電,2000/12/30,-2.809
2385 群光,2000/12/30,-2.439
2387 精元,2000/12/30,2.4096
2388 威盛,2000/12/30,1.676
2390 云辰,2000/12/30,1.573
2392 正崴,2000/12/30,-3.4483
2393 億光,2000/12/30,-3.1847
2395 研華,2000/12/30,0.4762
2397 友通,2000/12/30,-3.2258
2399 映泰,2000/12/30,-1.6129
2401 凌陽,2000/12/30,0
2402 毅嘉,2000/12/30,-1.3158
2404 漢唐,2000/12/30,1.9512
2405 浩鑫,2000/12/30,-3.1746
2406 國碩,2000/12/30,-0.4975
2408 南亞科,2000/12/30,-3.1088
2409 友達,2000/12/30,0
2412 中華電,2000/12/30,-1.3158
2413 環科,2000/12/30,-3.1008
2414 精技,2000/12/30,6.2731
2415 錩新,2000/12/30,0.5587
2417 圓剛,2000/12/30,0
2419 仲琦,2000/12/30,-3.3582
2420 新巨,2000/12/30,0.5291
2421 建準,2000/12/30,-1.7301
2423 固緯,2000/12/30,-1.2605
2424 隴華,2000/12/30,-0.6494
2425 承啟,2000/12/30,-3.5
2426 鼎元,2000/12/30,-3.1746
2427 三商電,2000/12/30,-3.4965
2428 興勤,2000/12/30,5.4795
2429 銘旺科,2000/12/30,0
2430 燦坤,2000/12/30,6.6667
2431 聯昌,2000/12/30,0
2433 互盛電,2000/12/30,-3.4965
2434 統懋,2000/12/30,-2.9412
2436 偉詮電,2000/12/30,1.0753
2438 翔耀,2000/12/30,-3.271
2439 美律,2000/12/30,2.8037
2440 太空梭,2000/12/30,-3.2258
2441 超豐,2000/12/30,0.3597
2442 新美齊,2000/12/30,0
2444 兆勁,2000/12/30,-2.9412
2457 飛宏,2000/12/30,-0.9119
2458 義隆,2000/12/30,0
2459 敦吉,2000/12/30,-1.6086
2460 建通,2000/12/30,-3.2143
2461 光群雷,2000/12/30,0
2462 良得電,2000/12/30,0
2464 盟立,2000/12/30,2.027
2465 麗臺,2000/12/30,5.4054
2466 冠西電,2000/12/30,-1.9608
2467 志聖,2000/12/30,6.3492
2468 華經,2000/12/30,7
2471 資通,2000/12/30,-3.125
2472 立隆電,2000/12/30,6.9588
2474 可成,2000/12/30,-1.0989
2476 鉅祥,2000/12/30,-2.6786
2477 美隆電,2000/12/30,1.6129
2478 大毅,2000/12/30,2.5761
2480 敦陽科,2000/12/30,1.9841
2481 強茂,2000/12/30,1.9048
2482 連宇,2000/12/30,3.6649
2483 百容,2000/12/30,6.4356
2484 希華,2000/12/30,-3.0534
2485 兆赫,2000/12/30,0.8677
2486 一詮,2000/12/30,6.8293
2488 漢平,2000/12/30,0
2489 瑞軒,2000/12/30,2.1008
2491 吉祥全,2000/12/30,0.8547
2492 華新科,2000/12/30,-3.4884
2501 國建,2000/12/30,0.6803
2504 國產,2000/12/30,3.3003
2505 國揚,2000/12/30,1.0417
2506 太設,2000/12/30,4.5455
2509 全坤建,2000/12/30,1.5152
2511 太子,2000/12/30,0.3012
2514 龍邦,2000/12/30,-1.6018
2515 中工,2000/12/30,-2.6455
2516 新建,2000/12/30,-1.8605
2520 冠德,2000/12/30,0.7937
2524 京城,2000/12/30,0
2527 宏璟,2000/12/30,0
2528 皇普,2000/12/30,2
2530 華建,2000/12/30,-0.8696
2534 宏盛,2000/12/30,3.2895
2535 達欣工,2000/12/30,4.6875
2536 宏普,2000/12/30,3.6364
2537 聯上發,2000/12/30,-3.4632
2538 基泰,2000/12/30,0
2539 櫻花建,2000/12/30,0.9804
2540 愛山林,2000/12/30,2.9197
2542 興富發,2000/12/30,0.4082
2543 皇昌,2000/12/30,0
2545 皇翔,2000/12/30,-0.2874
2546 根基,2000/12/30,-3.3333
2547 日勝生,2000/12/30,-3.3019
2548 華固,2000/12/30,0
2601 益航,2000/12/30,-1.0135
2603 長榮,2000/12/30,3.271
2605 新興,2000/12/30,4.1667
2606 裕民,2000/12/30,1.2346
2607 榮運,2000/12/30,6.8548
2608 嘉里大榮,2000/12/30,-0.4926
2609 陽明,2000/12/30,1.8315
2610 華航,2000/12/30,6.6327
2611 志信,2000/12/30,1.7544
2612 中航,2000/12/30,2.1127
2613 中櫃,2000/12/30,0
2614 東森,2000/12/30,-1.9093
2615 萬海,2000/12/30,0
2616 山隆,2000/12/30,-1.3423
2617 台航,2000/12/30,4.1667
2618 長榮航,2000/12/30,6.6667
2701 萬企,2000/12/30,1.7241
2702 華園,2000/12/30,0
2704 國賓,2000/12/30,0
2705 六福,2000/12/30,3.1674
2706 第一店,2000/12/30,-0.4878
2707 晶華,2000/12/30,6.3636
2801 彰銀,2000/12/30,4.8148
