Current,,
,,
證券代碼,年月日,報酬率％
2809 京城銀,2000/12/30,4.2614
2812 台中銀,2000/12/30,6.8571
2816 旺旺保,2000/12/30,4.1667
2820 華票,2000/12/30,1.7857
2823 中壽,2000/12/30,1.3699
2832 台產,2000/12/30,0
2834 臺企銀,2000/12/30,2.2831
2836 高雄銀,2000/12/30,6.4706
2838 聯邦銀,2000/12/30,1.7241
2841 台開,2000/12/30,6.8
2845 遠東銀,2000/12/30,-1.8182
2849 安泰銀,2000/12/30,4.1667
2850 新產,2000/12/30,0.5556
2851 中再保,2000/12/30,0.6757
2852 第一保,2000/12/30,2.9412
2855 統一證,2000/12/30,2.3077
2901 欣欣,2000/12/30,-1.3986
2903 遠百,2000/12/30,0.5
2904 匯僑,2000/12/30,0
2905 三商,2000/12/30,0.625
2906 高林,2000/12/30,0.9434
2908 特力,2000/12/30,0.5988
2910 統領,2000/12/30,0
2911 麗嬰房,2000/12/30,0.7194
2912 統一超,2000/12/30,4.023
2913 農林,2000/12/30,0.9195
2915 潤泰全,2000/12/30,-0.565
3002 歐格,2000/12/30,-0.7353
3010 華立,2000/12/30,5.7692
3011 今皓,2000/12/30,-3.3557
3018 同開,2000/12/30,-1.7467
3019 亞光,2000/12/30,3.7037
3021 鴻名,2000/12/30,3.9007
3024 憶聲,2000/12/30,0.4717
3026 禾伸堂,2000/12/30,-2.2026
3027 盛達,2000/12/30,2.3965
3028 增你強,2000/12/30,6.8807
3029 零壹,2000/12/30,-2.5
3033 威健,2000/12/30,0
3035 智原,2000/12/30,-2.9268
3036 文曄,2000/12/30,2.3256
3037 欣興,2000/12/30,-3.4568
3040 遠見,2000/12/30,-3.0303
3041 揚智,2000/12/30,-3.4014
3044 健鼎,2000/12/30,-2.9586
3045 台灣大,2000/12/30,1
3046 建碁,2000/12/30,-3.0227
3052 夆典,2000/12/30,-0.8299
4306 炎洲,2000/12/30,-0.9434
4414 如興,2000/12/30,-2.5773
4526 東台,2000/12/30,3.6735
5007 三星,2000/12/30,-1.5625
5203 訊連,2000/12/30,1
5388 中磊,2000/12/30,4.9774
5434 崇越,2000/12/30,-2.8571
5471 松翰,2000/12/30,-1.1152
5515 建國,2000/12/30,0
5519 隆大,2000/12/30,0
5521 工信,2000/12/30,4.3478
5522 遠雄,2000/12/30,-1.2077
5525 順天,2000/12/30,1.8182
5607 遠雄港,2000/12/30,-0.8163
6005 群益證,2000/12/30,4
6141 柏承,2000/12/30,3.4836
6183 關貿,2000/12/30,5.4852
6191 精成科,2000/12/30,0
8926 台汽電,2000/12/30,0
9902 台火,2000/12/30,2.7431
9904 寶成,2000/12/30,-0.4292
9905 大華,2000/12/30,0.625
9906 欣巴巴,2000/12/30,2.8037
9907 統一實,2000/12/30,1.0526
9908 大台北,2000/12/30,-3.2129
9910 豐泰,2000/12/30,2.5
9911 櫻花,2000/12/30,2.2965
9912 偉聯,2000/12/30,0.2625
9914 美利達,2000/12/30,2.8777
9917 中保科,2000/12/30,0.9836
9918 欣天然,2000/12/30,0
9919 康那香,2000/12/30,-0.9804
9921 巨大,2000/12/30,1.5982
9924 福興,2000/12/30,0.8333
9925 新保,2000/12/30,0.823
9926 新海,2000/12/30,-1.626
9927 泰銘,2000/12/30,-0.5814
9928 中視,2000/12/30,0.6173
9929 秋雨,2000/12/30,1.3274
9930 中聯資源,2000/12/30,1.8519
9931 欣高,2000/12/30,0
9933 中鼎,2000/12/30,1.4652
9934 成霖,2000/12/30,3.1949
9935 慶豐富,2000/12/30,2.439
9937 全國,2000/12/30,-1.6393
9940 信義,2000/12/30,-3.0675
9941 裕融,2000/12/30,1.9169
9943 好樂迪,2000/12/30,-1.4493
9945 潤泰新,2000/12/30,0
Y9999 加權指數,2000/12/29,-1.109
1101 台泥,2000/12/29,-1.3072
1102 亞泥,2000/12/29,0.5525
1103 嘉泥,2000/12/29,-0.7194
1104 環泥,2000/12/29,0.7752
1108 幸福,2000/12/29,2.3136
1109 信大,2000/12/29,0.9615
1110 東泥,2000/12/29,1.7857
1201 味全,2000/12/29,2.8571
1203 味王,2000/12/29,-3.0303
1210 大成,2000/12/29,-0.5556
1213 大飲,2000/12/29,1.2821
1215 卜蜂,2000/12/29,0
1216 統一,2000/12/29,1.3825
1217 愛之味,2000/12/29,0.7042
1218 泰山,2000/12/29,0
1219 福壽,2000/12/29,-3.3663
1220 台榮,2000/12/29,0
1225 福懋油,2000/12/29,0
1227 佳格,2000/12/29,0
1229 聯華,2000/12/29,-1.8868
1231 聯華食,2000/12/29,-1.7647
1232 大統益,2000/12/29,0
1233 天仁,2000/12/29,0.9346
1234 黑松,2000/12/29,-0.3788
1235 興泰,2000/12/29,-3.2258
1236 宏亞,2000/12/29,0
1301 台塑,2000/12/29,-1.5251
1303 南亞,2000/12/29,-3.3854
1304 台聚,2000/12/29,-2.3256
1305 華夏,2000/12/29,0.6309
1307 三芳,2000/12/29,4.9296
1308 亞聚,2000/12/29,0
1309 台達化,2000/12/29,-0.7519
1310 台苯,2000/12/29,-0.9901
1312 國喬,2000/12/29,-1.0417
1313 聯成,2000/12/29,-1.9231
1314 中石化,2000/12/29,1.8519
1315 達新,2000/12/29,1.7699
1316 上曜,2000/12/29,0
1319 東陽,2000/12/29,0
1321 大洋,2000/12/29,0
1323 永裕,2000/12/29,0
1324 地球,2000/12/29,-2.9703
1325 恒大,2000/12/29,-1.8018
1326 台化,2000/12/29,-1.1111
1402 遠東新,2000/12/29,0
1409 新纖,2000/12/29,-3.3639
1410 南染,2000/12/29,-0.8621
1413 宏洲,2000/12/29,-0.4651
1414 東和,2000/12/29,-3.4483
1416 廣豐,2000/12/29,0.3663
1417 嘉裕,2000/12/29,0
1418 東華,2000/12/29,-1.5873
1419 新紡,2000/12/29,1.4778
1423 利華,2000/12/29,-1.8809
1432 大魯閣,2000/12/29,0
1434 福懋,2000/12/29,0.6061
1435 中福,2000/12/29,-0.463
1436 華友聯,2000/12/29,6.8132
1437 勤益控,2000/12/29,2.5641
1438 三地開發,2000/12/29,-1.6706
1439 中和,2000/12/29,1.1494
1440 南紡,2000/12/29,0.2833
1441 大東,2000/12/29,6.8871
1442 名軒,2000/12/29,0.9709
1443 立益,2000/12/29,0
1444 力麗,2000/12/29,-1.1278
1445 大宇,2000/12/29,1.6393
1446 宏和,2000/12/29,-2.6316
1447 力鵬,2000/12/29,1.8182
1449 佳和,2000/12/29,0.8174
1451 年興,2000/12/29,-2.2364
1452 宏益,2000/12/29,-0.2801
1453 大將,2000/12/29,-1.9608
1454 台富,2000/12/29,-1.5267
1455 集盛,2000/12/29,-2.1212
1456 怡華,2000/12/29,0
1457 宜進,2000/12/29,-0.6452
1459 聯發,2000/12/29,-3.3333
1460 宏遠,2000/12/29,4.0984
1463 強盛,2000/12/29,0
1464 得力,2000/12/29,-1.1799
1465 偉全,2000/12/29,-1.2195
1466 聚隆,2000/12/29,-1.2048
1467 南緯,2000/12/29,0
1468 昶和,2000/12/29,-1.3986
1470 大統新創,2000/12/29,0
1471 首利,2000/12/29,0
1472 三洋紡,2000/12/29,3.4483
1473 台南,2000/12/29,0.9324
1474 弘裕,2000/12/29,-0.4785
1475 業旺,2000/12/29,-1.4151
1503 士電,2000/12/29,2.1858
1504 東元,2000/12/29,-1.676
1506 正道,2000/12/29,-2.9703
1507 永大,2000/12/29,-1.3889
1512 瑞利,2000/12/29,0
1513 中興電,2000/12/29,-1.0811
1514 亞力,2000/12/29,-0.9524
1515 力山,2000/12/29,2.8302
1516 川飛,2000/12/29,-2.3729
1517 利奇,2000/12/29,-3.3333
1519 華城,2000/12/29,3.7037
1521 大億,2000/12/29,-3.4221
1522 堤維西,2000/12/29,1.4815
1524 耿鼎,2000/12/29,-3.0612
1525 江申,2000/12/29,0.8
1526 日馳,2000/12/29,-0.7143
1527 鑽全,2000/12/29,0.8264
1528 恩德,2000/12/29,-1.227
1529 樂士,2000/12/29,3.8674
1530 亞崴,2000/12/29,0
1531 高林股,2000/12/29,-0.2577
1532 勤美,2000/12/29,-1.2903
1535 中宇,2000/12/29,-1.3699
1536 和大,2000/12/29,0
1538 正峰,2000/12/29,-2.381
1540 喬福,2000/12/29,0
1603 華電,2000/12/29,-3.2258
1604 聲寶,2000/12/29,-2.1186
1605 華新,2000/12/29,-0.3521
1608 華榮,2000/12/29,-2.5641
1609 大亞,2000/12/29,-0.9524
1611 中電,2000/12/29,2.5641
1612 宏泰,2000/12/29,-2.1053
1614 三洋電,2000/12/29,2
1615 大山,2000/12/29,0
1616 億泰,2000/12/29,0
1617 榮星,2000/12/29,-3.2051
1618 合機,2000/12/29,-2.6549
1701 中化,2000/12/29,-3.3113
1702 南僑,2000/12/29,2.0877
1707 葡萄王,2000/12/29,0.4024
1708 東鹼,2000/12/29,-1.9108
1709 和益,2000/12/29,-0.9259
1710 東聯,2000/12/29,1.227
1711 永光,2000/12/29,-1.1111
1712 興農,2000/12/29,1.5915
1713 國化,2000/12/29,-1.4706
1714 和桐,2000/12/29,0
1717 長興,2000/12/29,2.3474
1718 中纖,2000/12/29,0
1720 生達,2000/12/29,-2.7027
1721 三晃,2000/12/29,-3.367
1722 台肥,2000/12/29,0.8065
1723 中碳,2000/12/29,0.3401
1724 台硝,2000/12/29,0.6061
1725 元禎,2000/12/29,1.5625
1726 永記,2000/12/29,-1.9048
1727 中華化,2000/12/29,0
1730 花仙子,2000/12/29,-3.3333
1731 美吾華,2000/12/29,-0.5155
1732 毛寶,2000/12/29,0
1733 五鼎,2000/12/29,0.6667
1734 杏輝,2000/12/29,-0.5051
1735 日勝化,2000/12/29,0
1802 台玻,2000/12/29,-3.0303
1805 寶徠,2000/12/29,-3.125
1806 冠軍,2000/12/29,-3.4483
1808 潤隆,2000/12/29,0
1809 中釉,2000/12/29,-3.012
1810 和成,2000/12/29,-2.459
1903 士紙,2000/12/29,-3.3445
1904 正隆,2000/12/29,-1.9868
1905 華紙,2000/12/29,-3.0973
1906 寶隆,2000/12/29,6.9565
1907 永豐餘,2000/12/29,-1.1494
1909 榮成,2000/12/29,0.4158
2002 中鋼,2000/12/29,-0.5
2006 東和鋼鐵,2000/12/29,-0.9569
2007 燁興,2000/12/29,6.7633
2008 高興昌,2000/12/29,3.4783
2009 第一銅,2000/12/29,-2.1739
2010 春源,2000/12/29,0
2012 春雨,2000/12/29,2.7397
2013 中鋼構,2000/12/29,1.0811
2014 中鴻,2000/12/29,-2.439
2015 豐興,2000/12/29,0
2017 官田鋼,2000/12/29,-1.5385
2020 美亞,2000/12/29,0
2022 聚亨,2000/12/29,0.4132
2023 燁輝,2000/12/29,1.9231
2024 志聯,2000/12/29,-2.9851
2025 千興,2000/12/29,0.3717
2027 大成鋼,2000/12/29,0
2028 威致,2000/12/29,1.6949
2029 盛餘,2000/12/29,0
2030 彰源,2000/12/29,-2.551
2031 新光鋼,2000/12/29,-1.3158
2032 新鋼,2000/12/29,0
2033 佳大,2000/12/29,0
2034 允強,2000/12/29,-0.4202
2102 泰豐,2000/12/29,-0.7299
2103 台橡,2000/12/29,-2.9412
2104 國際中橡,2000/12/29,-2.3715
2105 正新,2000/12/29,-0.939
2106 建大,2000/12/29,-1.4493
2107 厚生,2000/12/29,-2.4
2108 南帝,2000/12/29,-3.4965
2109 華豐,2000/12/29,-3.2
2201 裕隆,2000/12/29,-0.9217
2204 中華,2000/12/29,0
2206 三陽工業,2000/12/29,-0.3774
2207 和泰車,2000/12/29,0.9901
2301 光寶科,2000/12/29,0
2302 麗正,2000/12/29,-0.6237
2303 聯電,2000/12/29,-0.4141
2305 全友,2000/12/29,6.8376
2308 台達電,2000/12/29,0
2312 金寶,2000/12/29,-3.012
2313 華通,2000/12/29,-2.7778
2314 台揚,2000/12/29,-3.3333
2316 楠梓電,2000/12/29,-3.3784
2317 鴻海,2000/12/29,0
2321 東訊,2000/12/29,-3.1746
2323 中環,2000/12/29,-1.2
2324 仁寶,2000/12/29,-0.2222
2327 國巨,2000/12/29,-0.3817
2328 廣宇,2000/12/29,-3.3493
2329 華泰,2000/12/29,-1.0989
2330 台積電,2000/12/29,-0.625
2331 精英,2000/12/29,0.4988
2332 友訊,2000/12/29,-3.2154
2337 旺宏,2000/12/29,-1.4851
2338 光罩,2000/12/29,-3.1674
2340 光磊,2000/12/29,-3.2895
2342 茂矽,2000/12/29,-3.1746
2344 華邦電,2000/12/29,-3.3537
2345 智邦,2000/12/29,-3.3333
2347 聯強,2000/12/29,-3.4
2348 海悅,2000/12/29,-3.4247
2349 錸德,2000/12/29,-3.3333
2351 順德,2000/12/29,-3.0303
2352 佳世達,2000/12/29,-3.4286
2353 宏碁,2000/12/29,-3.397
2354 鴻準,2000/12/29,0.4484
2355 敬鵬,2000/12/29,-3.4653
2356 英業達,2000/12/29,-3.1847
2357 華碩,2000/12/29,-3.3981
2358 廷鑫,2000/12/29,-3.1915
2359 所羅門,2000/12/29,0
2360 致茂,2000/12/29,-3.2922
2362 藍天,2000/12/29,2.1176
2363 矽統,2000/12/29,-1.0811
2364 倫飛,2000/12/29,-1.3889
2365 昆盈,2000/12/29,-1.2448
2367 燿華,2000/12/29,-0.9615
2368 金像電,2000/12/29,-3.271
2369 菱生,2000/12/29,-3.4934
2371 大同,2000/12/29,-2.7237
2373 震旦行,2000/12/29,-3.2787
2374 佳能,2000/12/29,-2.2321
2375 凱美,2000/12/29,-3.3058
2376 技嘉,2000/12/29,-2.6316
